Thu Dec  9 10:58:27 2021    cProfile_output

         15254792 function calls (14983050 primitive calls) in 20.212 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    63676    0.095    0.000    0.162    0.000 inspect.py:2467(__init__)
      389    0.003    0.000    0.159    0.000 sre_compile.py:759(compile)
  199/163    0.000    0.000    0.158    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
  199/163    0.028    0.000    0.157    0.001 {built-in method _imp.exec_dynamic}
     2512    0.016    0.000    0.157    0.000 construction.py:388(sanitize_array)
        5    0.000    0.000    0.157    0.031 __init__.py:7(<module>)
1003127/946016    0.127    0.000    0.156    0.000 {built-in method builtins.len}
       80    0.001    0.000    0.154    0.002 axis.py:862(set_tick_params)
54486/38886    0.023    0.000    0.153    0.000 {built-in method builtins.sum}
     9600    0.022    0.000    0.152    0.000 pool.py:356(apply_async)
21600/4800    0.068    0.000    0.151    0.000 optimization.py:230(fuse_slice)
     1240    0.004    0.000    0.151    0.000 slicing.py:163(slice_with_newaxes)
3660/2440    0.008    0.000    0.151    0.000 utils.py:371(getargspec)
      720    0.003    0.000    0.150    0.000 netCDF4_.py:76(_getitem)
       13    0.001    0.000    0.146    0.011 core.py:3362(concatenate)
     3364    0.001    0.000    0.146    0.000 re.py:232(compile)
     1240    0.004    0.000    0.146    0.000 slicing.py:204(slice_wrap_lists)
12193/12191    0.007    0.000    0.146    0.000 __init__.py:811(__getitem__)
     1210    0.003    0.000    0.144    0.000 concat.py:375(is_uniform_join_units)
        1    0.000    0.000    0.143    0.143 colorbar.py:20(<module>)
      240    0.014    0.000    0.142    0.001 times.py:101(_decode_datetime_with_pandas)
       20    0.000    0.000    0.141    0.007 _base.py:2744(grid)
       40    0.000    0.000    0.141    0.004 axis.py:1432(grid)
261228/261052    0.112    0.000    0.141    0.000 {built-in method builtins.hasattr}
   173930    0.045    0.000    0.140    0.000 abc.py:137(__instancecheck__)
     1240    0.028    0.000    0.138    0.000 slicing.py:269(slice_slices_and_integers)
    18/16    0.000    0.000    0.137    0.009 __init__.py:109(import_module)
    18/16    0.000    0.000    0.137    0.009 <frozen importlib._bootstrap>:994(_gcd_import)
25342/25282    0.064    0.000    0.137    0.000 {method 'update' of 'dict' objects}
      8/3    0.000    0.000    0.136    0.045 pyplot.py:182(switch_backend)
