Thu Dec  9 10:56:27 2021    cProfile_output

         16113513 function calls (15818872 primitive calls) in 21.766 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1896    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      599    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
     1887    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     4302    0.044    0.000    0.391    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      237    0.002    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      237    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     3374    0.014    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1887    0.004    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     4302    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
     1687    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      599    0.001    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:421(_find_module_shim)
     1687    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1687    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     5061    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     1687    0.005    0.000    0.300    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    25776    0.022    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     1887    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
    25776    0.018    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     3374    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1687    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
  1687/11    0.006    0.000    4.262    0.387 <frozen importlib._bootstrap_external>:722(exec_module)
    11950    0.007    0.000    0.212    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1687    0.021    0.000    1.285    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     5961    0.006    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     1687    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
     1687    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
     1687    0.663    0.000    0.892    0.001 <frozen importlib._bootstrap_external>:914(get_data)
     5201    0.003    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     1687    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      760    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      606    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 CVAO_dict.py:8(<module>)
        1    0.000    0.000    0.000    0.000 CVAO_tools.py:7(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.002    0.002 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.643    0.643 GC_tools.py:4(<module>)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(<module>)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(NodeFilter)
        1    0.000    0.000    0.000    0.000 PyColorize.py:176(Parser)
        1    0.000    0.000    0.012    0.012 PyColorize.py:30(<module>)
       40    0.000    0.000    0.028    0.001 RowPy.py:792(find_nearest)
        1    0.000    0.000    0.102    0.102 RowPy.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
      110    0.065    0.001    4.975    0.045 __init__.py:1(<module>)
        5    0.000    0.000    0.028    0.006 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(PerformanceWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:100(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:100(NotSupportedErr)
        1    0.000    0.000    0.000    0.000 __init__.py:100(Value)
        2    0.000    0.000    0.000    0.000 __init__.py:1000(__init__)
        1    0.000    0.000    0.057    0.057 __init__.py:101(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:103(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:103(InuseAttributeErr)
        4    0.000    0.000    0.058    0.014 __init__.py:103(load)
        1    0.000    0.000    0.000    0.000 __init__.py:1033(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:104(<listcomp>)
        1    0.000    0.000    0.227    0.227 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:106(EvaluatorSubprocess)
        1    0.000    0.000    0.000    0.000 __init__.py:106(InvalidStateErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        1    0.000    0.000    0.051    0.051 __init__.py:109(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:109(SyntaxErr)
        1    0.000    0.000    0.000    0.000 __init__.py:109(_FFTModule)
    18/16    0.000    0.000    0.132    0.008 __init__.py:109(import_module)
        5    0.000    0.000    0.185    0.037 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:110(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1109(ExtractionError)
        1    0.000    0.000    0.002    0.002 __init__.py:112(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:112(InvalidModificationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1129(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:115(NamespaceErr)
        2    0.000    0.000    0.001    0.001 __init__.py:1154(resource_string)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
       13    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
       13    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:118(InvalidAccessErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1184(rc_context)
        1    0.000    0.000    0.012    0.012 __init__.py:119(<module>)
        1    0.000    0.000    0.029    0.029 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:120(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:121(ValidationErr)
       91    0.001    0.000    0.002    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:122(<listcomp>)
        1    0.000    0.000    0.016    0.016 __init__.py:124(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:124(UserDataHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:1250(use)
        1    0.000    0.000    0.000    0.000 __init__.py:126(NameHighlightFilter)
       80    0.000    0.000    0.001    0.000 __init__.py:1267(_fixupParents)
        3    0.000    0.000    0.000    0.000 __init__.py:127(parse_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:13(<listcomp>)
        1    0.000    0.000    0.056    0.056 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        5    0.000    0.000    0.000    0.000 __init__.py:1304(_clear_cache)
      921    0.001    0.000    0.007    0.000 __init__.py:1317(safe_name)
       10    0.000    0.000    0.000    0.000 __init__.py:1320(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
     1064    0.004    0.000    0.044    0.000 __init__.py:1325(safe_version)
       81    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
     4049    0.002    0.000    0.005    0.000 __init__.py:1340(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1344(<dictcomp>)
        5    0.000    0.000    0.000    0.000 __init__.py:1349(setLevel)
       60    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:137(_automodule)
        4    0.000    0.000    0.000    0.000 __init__.py:137(_declare_state)
     1105    0.002    0.000    0.003    0.000 __init__.py:1373(is_math_text)
     3692    0.004    0.000    0.013    0.000 __init__.py:1382(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:1383(NullProvider)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        2    0.000    0.000    0.000    0.000 __init__.py:1390(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1391(Popen)
       80    0.000    0.000    0.014    0.000 __init__.py:1393(_check_1d)
        2    0.000    0.000    0.000    0.000 __init__.py:14(<listcomp>)
        2    0.000    0.000    0.278    0.139 __init__.py:14(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:140(__getattr__)
        2    0.000    0.000    0.001    0.000 __init__.py:1400(get_resource_string)
      500    0.000    0.000    0.010    0.000 __init__.py:1406(_get_metadata_path)
      356    0.001    0.000    0.015    0.000 __init__.py:1409(has_metadata)
      144    0.001    0.000    0.066    0.000 __init__.py:1416(get_metadata)
      190    0.000    0.000    0.000    0.000 __init__.py:143(__init__)
      144    0.000    0.000    0.067    0.000 __init__.py:1431(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1477(<listcomp>)
      502    0.001    0.000    0.009    0.000 __init__.py:1486(_fn)
