,mace_head
1991-02-01,28.665585207120007
1991-03-01,28.96317846488816
1991-04-01,35.98379668308856
1991-05-01,33.33660470253386
1991-06-01,33.970672852490225
1991-07-01,36.8637465212927
1991-08-01,31.42185889259963
1991-09-01,34.1793710963619
1991-10-01,27.16783093832888
1991-11-01,27.138263310651684
1991-12-01,23.66148492908891
1992-01-01,23.93510826096652
1992-02-01,32.966690833130336
1992-03-01,32.64160812611569
1992-04-01,33.30228211713878
1992-05-01,38.65375328775973
1992-06-01,36.92345812803902
1992-07-01,28.281252665905296
1992-08-01,28.603570436944796
1992-09-01,30.009417114248055
1992-10-01,28.39115655118099
1992-11-01,28.03591196235781
1992-12-01,22.5423917382135
1993-01-01,28.69090083792006
1993-02-01,27.194654845479654
1993-03-01,31.48283262762121
1993-04-01,33.235470967933146
1993-05-01,38.49167144160733
1993-06-01,29.587032853347257
1993-07-01,25.843549809128636
1993-08-01,28.501587441419655
1993-09-01,32.05259666572147
1993-10-01,27.538932052324995
1993-11-01,23.7958719543722
1993-12-01,26.7081496130664
1994-01-01,27.409143227476218
1994-02-01,23.597995525901997
1994-03-01,33.00607065079197
1994-04-01,35.24885213342562
1994-05-01,39.04364373027185
1994-06-01,30.1281827338092
1994-07-01,29.737213064744275
1994-08-01,30.986171392185263
1994-09-01,30.637226622332037
1994-10-01,28.58533670700669
1994-11-01,25.43089706226927
1994-12-01,27.69305186601037
1995-01-01,29.436770154050816
1995-02-01,30.30769007190364
1995-03-01,32.85442077533903
1995-04-01,35.23273151747238
1995-05-01,34.445278629391396
1995-06-01,34.00509100970339
1995-07-01,32.5226959914964
1995-08-01,36.342804550728154
1995-09-01,33.46580494204924
1995-10-01,30.18898839873292
1995-11-01,24.567490116330266
1995-12-01,17.076133786556483
1996-01-01,20.81393619464635
1996-02-01,29.80003064235775
1996-03-01,29.614519009112062
1996-04-01,36.16852103742
1996-05-01,39.232586269305656
1996-06-01,32.57168158891469
1996-07-01,29.02557460332343
1996-08-01,30.009643744909724
1996-09-01,33.43367035076502
1996-10-01,30.50846268088721
1996-11-01,28.54175834935783
1996-12-01,20.308827014357778
1997-01-01,24.189241692111395
1997-02-01,33.506654910959405
1997-03-01,34.35950231144327
1997-04-01,35.77561228003864
1997-05-01,40.48613796902417
1997-06-01,38.95436879730596
1997-07-01,30.790943758842655
1997-08-01,32.92150947552566
1997-09-01,30.853678130900636
